"Generation","Term","classicFisher","Significant","-log10(p-value)"
"Gen1","establishment of RNA localization",0.0041,3,2.38721614328026
"Gen1","intracellular mRNA localization involved...",0.0041,2,2.38721614328026
"Gen1","RNA localization",0.0052,4,2.2839966563652
"Gen1","intracellular mRNA localization",0.0063,2,2.20065945054642
"Gen1","oocyte axis specification",0.0067,2,2.17392519729917
"Gen1","oocyte construction",0.008,2,2.09691001300806
"Gen1","gamma-aminobutyric acid metabolic proces...",0.0085,2,2.07058107428571
"Gen1","embryonic pattern specification",0.0092,2,2.03621217265444
"Gen1","tripartite regional subdivision",0.0127,2,1.89619627904404
"Gen1","cytoplasm organization",0.0132,2,1.87942606879415
"Gen1","nucleobase-containing compound transport",0.0148,3,1.82973828460504
"Gen1","pole plasm assembly",0.0152,2,1.81815641205523
"Gen1","mesenchyme morphogenesis",0.0166,2,1.77989191195995
"Gen1","mesenchyme migration",0.0184,2,1.73518217699046
"Gen1","lateral line system development",0.0199,1,1.70114692359029
"Gen1","lateral line development",0.0229,1,1.64016451766011
"Gen1","protein insertion into membrane",0.0231,1,1.63638802010786
"Gen1","carbohydrate phosphorylation",0.0259,1,1.58670023591875
"Gen1","tubulin complex assembly",0.0271,1,1.56703070912559
"Gen1","oocyte differentiation",0.0274,2,1.56224943717961
"Gen1","membrane protein proteolysis",0.0304,1,1.51712641639125
"Gen1","mesenchyme development",0.0321,2,1.49349496759513
"Gen1","protein insertion into ER membrane",0.0344,1,1.46344155742847
"Gen1","establishment or maintenance of transmem...",0.0345,1,1.46218090492673
"Gen1","molybdopterin cofactor metabolic process",0.0424,1,1.37263414340727
"Gen1","kidney development",0.0447,2,1.34969247686806
"Gen1","tissue migration",0.0456,2,1.34103515733556
"Gen1","photoreceptor cell outer segment organiz...",0.0462,1,1.33535802444387
"Gen1","larval behavior",0.0467,1,1.33068311943389
"Gen1","germarium-derived oocyte fate determinat...",0.0468,1,1.32975414692588
"Gen1","protein folding",0.0481,5,1.31785492362617
"Gen1","maintenance of protein location",0.0494,1,1.30627305107635
"Gen1","metabolic compound salvage",0.0511,2,1.29157909986529
"Gen1","regulation of cell growth",0.0539,2,1.26841123481326
"Gen1","lamellipodium organization",0.0547,1,1.26201267366657
"Gen1","ribose phosphate metabolic process",0.0551,3,1.25884840114821
"Gen1","axis specification",0.0573,2,1.24184537803261
"Gen1","response to ionizing radiation",0.0587,2,1.23136189875239
"Gen1","purine nucleoside biosynthetic process",0.0596,1,1.22475374025976
"Gen1","sulfur amino acid biosynthetic process",0.0598,2,1.22329881601159
"Gen1","alanyl-tRNA aminoacylation",0.0621,1,1.20690839982342
"Gen1","chemosensory behavior",0.0648,1,1.18842499412941
"Gen1","sulfur amino acid metabolic process",0.0658,2,1.18177410638604
"Gen1","pericyte cell differentiation",0.0684,1,1.16494389827988
"Gen1","UV-damage excision repair",0.0686,1,1.16367588429325
"Gen1","chromosome organization",0.0695,4,1.15801519540989
"Gen1","rRNA metabolic process",0.0696,5,1.15739076038944
"Gen1","spindle assembly",0.0701,2,1.15428198203334
"Gen1","oocyte development",0.0704,2,1.15242734085789
"Gen1","regulation of membrane lipid distributio...",0.0706,1,1.1511952989482
"Gen1","negative regulation of small GTPase medi...",0.0759,1,1.11975822410452
"Gen1","mesangial cell development",0.0772,1,1.11238269966426
"Gen1","oligosaccharide metabolic process",0.0777,1,1.10957898119909
"Gen1","recombinational repair",0.078,2,1.10790539730952
"Gen1","osteoclast differentiation",0.08,1,1.09691001300806
"Gen1","maintenance of protein location in nucle...",0.0822,1,1.08512818245995
"Gen1","cellular response to oxygen levels",0.0832,1,1.07987667370928
"Gen1","aspartate family amino acid biosynthetic...",0.0836,2,1.07779372256098
"Gen1","pyrimidine-containing compound salvage",0.0853,1,1.06905096883248
"Gen1","glutamate catabolic process",0.0862,1,1.06449273417529
"Gen1","amino acid biosynthetic process",0.0871,3,1.05998184499234
"Gen1","organic acid transmembrane transport",0.0873,1,1.05898575629443
"Gen1","retina morphogenesis in camera-type eye",0.0887,1,1.05207638016827
"Gen1","cell maturation",0.0892,2,1.04963514562388
"Gen1","AMP metabolic process",0.0895,1,1.04817696468409
"Gen1","glomerulus vasculature development",0.0905,1,1.0433514207948
"Gen1","membraneless organelle assembly",0.0913,4,1.0395292224657
"Gen1","oligosaccharide biosynthetic process",0.0928,1,1.03245202378114
