region	chr	midPos	Nsites
(792,1148)(270388,270801)(250000,300000)	JASDQU010010013.1	275000	358	0.128970
(144,2261)(154310,163289)(150000,200000)	JASDQU010010031.1	175000	2119	0.300096
(1389,1801)(191701,192308)(150000,200000)	JASDQU010010034.1	175000	414	0.047086
(681,1088)(211276,211701)(200000,250000)	JASDQU010010035.1	225000	409	0.105721
(173,1071)(343091,343994)(300000,350000)	JASDQU010010040.1	325000	900	0.500606
(481,817)(176403,186614)(150000,200000)	JASDQU010010049.1	175000	338	0.100937
(1761,2156)(153680,154159)(150000,200000)	JASDQU010010054.1	175000	397	0.048543
(36,520)(118518,119085)(100000,150000)	JASDQU010010058.1	125000	486	0.750709
(50,645)(248681,249513)(200000,250000)	JASDQU010010065.1	225000	597	0.546746
(646,682)(285352,285402)(250000,300000)	JASDQU010010065.1	275000	38	0.141380
(602,707)(75204,75310)(50000,100000)	JASDQU010010068.1	75000	107	0.053050
(117,419)(160003,160312)(150000,200000)	JASDQU010010086.1	175000	304	0.086874
(352,466)(53634,53752)(50000,100000)	JASDQU010010095.1	75000	116	0.250879
(5,717)(324733,325458)(300000,350000)	JASDQU010010118.1	325000	714	0.605958
(2426,2467)(88197,88256)(50000,100000)	JASDQU010010129.1	75000	43	0.188914
(165,469)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	306	0.471349
(941,1776)(57758,58615)(50000,100000)	JASDQU010010145.1	75000	837	0.229135
(568,1148)(250290,268052)(250000,300000)	JASDQU010010146.1	275000	582	0.640531
(1357,2018)(226518,227209)(200000,250000)	JASDQU010010155.1	225000	663	0.626171
(1208,2133)(250000,251278)(250000,300000)	JASDQU010010184.1	275000	927	0.500805
(2339,3015)(50000,87834)(50000,100000)	JASDQU010010197.1	75000	678	0.511397
(270,330)(165328,165397)(150000,200000)	JASDQU010010218.1	175000	62	0.117436
(6307,6443)(100910,101123)(100000,150000)	JASDQU010010227.1	125000	138	0.355619
(203,1125)(77884,82432)(50000,100000)	JASDQU010010231.1	75000	924	0.028451
(1126,2658)(302229,303894)(300000,350000)	JASDQU010010231.1	325000	1534	0.279258
(2659,3257)(487308,487979)(450000,500000)	JASDQU010010231.1	475000	600	0.023236
(3258,3502)(503235,503691)(500000,550000)	JASDQU010010231.1	525000	246	0.030674
(1924,2405)(120051,120597)(100000,150000)	JASDQU010010234.1	125000	483	0.504486
(167,1423)(194105,196473)(150000,200000)	JASDQU010010245.1	175000	1258	0.500727
(324,1176)(56903,62784)(50000,100000)	JASDQU010010265.1	75000	854	0.361237
(34,565)(251354,251929)(250000,300000)	JASDQU010010271.1	275000	533	0.182563
(587,1472)(53704,54598)(50000,100000)	JASDQU010010292.1	75000	887	0.193145
(1473,1755)(290579,294518)(250000,300000)	JASDQU010010292.1	275000	284	0.058446
(599,1215)(106699,107467)(100000,150000)	JASDQU010010310.1	125000	618	0.096372
(206,845)(245540,246179)(200000,250000)	JASDQU010010323.1	225000	641	0.042571
(652,1290)(78561,79205)(50000,100000)	JASDQU010010379.1	75000	640	0.677581
(258,1024)(75826,76700)(50000,100000)	JASDQU010010393.1	75000	768	0.376836
(529,712)(262617,262870)(250000,300000)	JASDQU010010416.1	275000	185	0.710509
(497,642)(91285,91434)(50000,100000)	JASDQU010010419.1	75000	147	0.053966
(484,1118)(236429,237077)(200000,250000)	JASDQU010010437.1	225000	636	0.201420
(715,873)(101973,102131)(100000,150000)	JASDQU010010459.1	125000	160	0.060503
(300,407)(217922,218057)(200000,250000)	JASDQU010010510.1	225000	109	0.046381
(408,630)(296552,297137)(250000,300000)	JASDQU010010510.1	275000	224	0.101445
(2033,2772)(292733,296501)(250000,300000)	JASDQU010010524.1	275000	741	0.042113
(128,2803)(50000,82980)(50000,100000)	JASDQU010010538.1	75000	2677	0.026400
